日期,銀行,幣別代碼,現金買入,現金賣出,即期買入,即期賣出
2025-10-04,元大銀行,CNY,4.2360,4.2860,4.1360,4.3240
2025-10-04,元大銀行,JPY,0.2048,0.2080,0.2006,0.2102
2025-10-04,元大銀行,EUR,35.5350,35.8550,35.1350,36.2450
2025-10-04,元大銀行,HKD,3.8815,3.9335,3.8125,3.9685
2025-10-04,元大銀行,AUD,19.9880,20.1880,-,-
2025-10-04,元大銀行,NZD,17.6360,17.8360,-,-
2025-10-04,元大銀行,ZAR,1.7078,1.8378,-,-
2025-10-04,元大銀行,CAD,21.6775,21.8775,-,-
2025-10-04,元大銀行,GBP,40.7050,41.1050,-,-
2025-10-04,元大銀行,SGD,23.5080,23.6680,-,-
2025-10-04,元大銀行,CHF,38.0950,38.3150,-,-
2025-10-04,元大銀行,SEK,3.1995,3.2795,-,-
2025-10-04,元大銀行,THB,0.9135,0.9635,-,-
2025-10-04,台灣銀行,USD,30.280,30.430,29.965,30.635
2025-10-04,台灣銀行,HKD,3.865,3.935,3.744,3.948
2025-10-04,台灣銀行,GBP,40.630,41.260,39.75,41.85
2025-10-04,台灣銀行,AUD,19.870,20.215,19.655,20.435
2025-10-04,台灣銀行,CAD,21.600,21.930,21.280,22.190
2025-10-04,台灣銀行,SGD,23.444,23.664,22.974,23.884
2025-10-04,台灣銀行,CHF,37.975,38.365,37.355,38.555
2025-10-04,台灣銀行,JPY,0.2032,0.2082,0.1964,0.2094
2025-10-04,台灣銀行,ZAR,1.717,1.807,-,-
2025-10-04,台灣銀行,SEK,3.177,3.297,-,-
2025-10-04,台灣銀行,NZD,17.555,17.855,17.225,18.085
2025-10-04,台灣銀行,THB,0.9205,0.9665,0.8091,1.0001
2025-10-04,台灣銀行,PHP,-,-,0.4577,0.5897
2025-10-04,台灣銀行,IDR,-,-,0.00147,0.00217
2025-10-04,台灣銀行,EUR,35.360,35.960,34.850,36.180
2025-10-04,台灣銀行,KRW,-,-,0.01978,0.02368
2025-10-04,台灣銀行,VND,-,-,0.00090,0.00132
2025-10-04,台灣銀行,MYR,-,-,6.179,7.704
2025-10-04,台灣銀行,CNY,4.223,4.283,4.156,4.322
2025-10-04,永豐銀行,USD,-,30.2750,30.3840,30.0740
2025-10-04,永豐銀行,JPY,-,0.2037,0.2074,0.2007
2025-10-04,永豐銀行,HKD,-,3.8699,3.9241,3.8299
2025-10-04,永豐銀行,EUR,-,35.3731,35.7468,35.0231
2025-10-04,永豐銀行,GBP,-,40.5582,40.9790,-
2025-10-04,永豐銀行,CHF,-,37.8778,38.1585,-
2025-10-04,永豐銀行,AUD,-,19.9021,20.1365,-
